,YM,Title
143,201807,アップデートのお知らせ【2018/07/27(金) 11:45 公開】
144,201807,「ぷりこねっ！りだいぶ」第23話掲載
145,201807,「ぷりこねっ！りだいぶ」第24話掲載
146,201807,「ハードクエスト」ドロップ量2倍キャンペーン！
147,201807,ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催決定！
148,201807,2018/07/20(金)メンテナンス実施およびダンジョン新エリア「蒼海の孤塔(EXTREME)」の追加のお知らせ【追記】
149,201807,「デンジャラスバカンス！渚のグルメプリンセス」開催終了！
150,201807,ダンジョン「蒼海の孤塔(EXTREME)」追加！
151,201807,一時的にゲームに接続できない場合がある現象について
152,201807,「7月クランバトル」開催！
153,201807,「7月クランバトル」開催決定！
154,201807,「ノーマルクエスト」ドロップ量2倍キャンペーン！
155,201807,2018/07/20(金)メンテナンス終了のお知らせ
156,201807,期間限定キャラ「スズメ（サマー）」登場！！
157,201807,ギルドハウスに新しい家具を追加！
158,201807,アップデートのお知らせ【2018/07/12(木) 12:00 公開】
159,201807,「ぷりこねっ！りだいぶ」第21話掲載
160,201807,アップデートのお知らせ【2018/07/17(火) 15:00 更新】
161,201807,アップデートのお知らせ【2018/07/17(火) 12:00 公開】
162,201807,「ぷりこねっ！りだいぶ」第20話掲載
163,201807,150万ダウンロード突破記念プレゼントのお知らせ
164,201807,Google Play版において、ジュエルを購入できない現象について
165,201807,「ぷりこねっ！りだいぶ」第18話掲載
166,201807,アップデートのお知らせ【2018/07/11(水) 14:05 追記】
167,201807,「プリンセスコネクト！Re:Dive」LINE公式スタンプ発売開始のお知らせ
168,201807,「ぷりこねっ！りだいぶ」第19話掲載
169,201807,「ぷりこねっ！りだいぶ」第17話掲載
170,201807,「ダンジョン」マナドロップ量2倍キャンペーン！
171,201807,購入金額通知機能追加のお知らせ
172,201807,一部のキャリア決済において、ジュエルを購入できない不具合について
173,201807,アップデートのお知らせ【2018/07/04(水) 14:30 更新】
174,201807,6月「クランバトル」開催期間終了！【2018/07/02(月) 17:00 追記】
175,201808,1日1回10連ガチャ無料キャンペーン開催！！
176,201808,新キャラ「トモ」登場！！
177,201808,ギルドハウスアイテム「なりきりおにぎり」プレゼントのお知らせ
178,201808,アップデートのお知らせ【2018/08/31(金) 13:37 追記】
179,201808,アップデートのお知らせ【2018/08/27(月) 15:00 更新】
180,201808,「探索」ドロップ量2倍キャンペーン！
181,201808,ストーリーイベント「黒鉄の亡霊（ナイトメア）」開催中！【2018/09/06(木) 15:00 追記】
182,201808,「ぷりこねっ！りだいぶ」第30話掲載
183,201808,ストーリーイベント「黒鉄の亡霊（ナイトメア）」開催決定！
184,201808,「ぷりこねっ！りだいぶ」第31話掲載
185,201808,アップデートのお知らせ【2018/08/23(木) 12:00 公開】
186,201808,「ぷりこねっ！りだいぶ」第32話掲載
187,201808,DMM GAMES版において、正常にガチャ詳細ページを開けない不具合について
188,201808,Half Anniversaryガチャ開催！！
189,201808,「8月クランバトル」開催！【2018/08/23(木) 12:30 追記】
190,201808,「ハードクエスト」ドロップ量3倍キャンペーン！
191,201808,アップデートのお知らせ【2018/08/27(月) 12:00 公開】
192,201808,2018/08/20(月) メンテナンス実施のお知らせ
193,201808,「ノーマルクエスト」ドロップ量3倍キャンペーン！
194,201808,アップデートのお知らせ【2018/08/21(火) 18:15 追記】
195,201808,「Half Anniversaryキャンペーン」 第2弾開催！！
196,201808,1日1回10連ガチャ無料キャンペーン開催のお知らせ
197,201808,クランバトルにて、一部の画面が正しく表示されない不具合について【2018/08/20(月) 17:50 追記】
198,201808,2018/08/20(月)メンテナンス終了のお知らせ
199,201808,「ぷりこねっ！りだいぶ」第29話掲載
200,201808,バトルアリーナ リセット＆シャッフル実施！【2018/08/20(月) 21:30 追記】
201,201808,「タマキとミフユの無人島０ルピ生活」開催終了！
202,201808,iOS版において、ジュエルを購入する際に、エラーが発生し進行不可になる現象について
203,201808,アリーナショップに「アヤネのメモリーピース」を追加！！
204,201808,バトルアリーナにおけるグループのシャッフル、およびランキングの順位リセットのお知らせ
205,201808,「8月クランバトル」開催決定！
206,201808,アップデートのお知らせ【2018/08/15(水) 19:07 追記】
207,201808,「Half Anniversaryキャンペーン」 第1弾開催！
208,201808,「探索」ドロップ量3倍キャンペーン！
209,201808,「Android 9.0」での動作について
210,201808,アップデートのお知らせ【2018/08/09(木) 12:40 更新】
211,201808,ギルドハウスに新しい家具を追加！
212,201808,「ぷりこねっ！りだいぶ」第28話掲載
213,201808,「ぷりこねっ！りだいぶ」第25話掲載
214,201808,「ダンジョン」マナドロップ量2倍キャンペーン！
215,201808,「ぷりこねっ！りだいぶ」第26話掲載
216,201808,「ぷりこねっ！りだいぶ」第27話掲載
217,201808,7月「クランバトル」開催期間終了！【2018/08/01(水) 17:00 追記】
218,201808,アップデートのお知らせ【2018/08/03(金) 14:15 更新】
219,201808,ストーリーイベント「タマキとミフユの無人島０ルピ生活」開催中！【2018/08/06(月) 15:00 追記】
220,201809,期間限定キャラ「シノブ（ハロウィン）」登場！！
221,201809,「トリックオアプリン！約束のハロウィンパーティー」開催中！【2018/10/06(土) 15:00 追記】
222,201809,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！
223,201809,「ぷりこねっ！りだいぶ」第40話掲載
224,201809,「探索」ドロップ量2倍キャンペーン！
225,201809,アップデートのお知らせ【2018/09/30(日) 12:00 更新】
226,201809,「ジュエル購入」に「毎月更新 ジュエル 7500個」を追加！
227,201809,「プリンセスコネクト！Re:Dive　公式生放送　2018　秋　～収穫の秋！プリコネ最新情報詰め合わせ！～」放送のお知らせ【2018/09/25(火) 22:4…
228,201809,「プリンセスコネクト！Re:Dive」キャラクターソングCD第5弾発売開始のお知らせ
229,201809,ストーリーイベント「トリックオアプリン！約束のハロウィンパーティー」開催決定！
230,201809,「ぷりこねっ！りだいぶ」第39話掲載
231,201809,「クランバトル」における不具合について
232,201809,「9月クランバトル」開催！
233,201809,「ぷりこねっ！りだいぶ」第38話掲載
234,201809,「プリンセスコネクト！Re:Dive×パセラコラボカフェ」開催決定のお知らせ
235,201809,新キャラ「マツリ」登場！！
236,201809,「ぷりこねっ！りだいぶ」第37話掲載
237,201809,「ハードクエスト」ドロップ量2倍キャンペーン！
238,201809,ギルドハウスに新しい家具を追加！
239,201809,「ノーマルクエスト」ドロップ量2倍キャンペーン！
240,201809,「ぷりこねっ！りだいぶ」第35話掲載
241,201809,新クエスト「ルナの塔」開催中！
242,201809,新クエスト「ルナの塔」開催決定！
243,201809,「ぷりこねっ！りだいぶ」第36話掲載
244,201809,「黒鉄の亡霊（ナイトメア）」開催終了！
245,201809,「ぷりこねっ！りだいぶ」第34話掲載
246,201809,アップデートのお知らせ【2018/09/18(火) 15:00 更新】
247,201809,「9月クランバトル」開催決定！
248,201809,「ダンジョン」マナドロップ量2倍キャンペーン！
249,201809,アップデートのお知らせ【2018/09/11(火) 12:10 公開】
250,201809,8月「クランバトル」開催期間終了！【2018/09/03(月) 17:00 追記】
251,201809,アップデートのお知らせ【2018/09/10(月) 12:00 公開】
252,201809,「ぷりこねっ！りだいぶ」第33話掲載
253,201809,「ニコニコスマホSDK」サポート終了のお知らせ
254,201809,「プリンセスコネクト！Re:Dive」カラオケ配信に関するお知らせ
255,201810,「共闘」コンテンツの終了日時、および報酬のバランス調整について
256,201810,2018/11/06(火) メンテナンス実施のお知らせ
257,201810,ストーリーイベント「トワイライトブレイカーズ」開催中！
258,201810,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！
259,201810,アップデートのお知らせ【2018/10/31(水) 20:40 更新】
260,201810,「探索」ドロップ量2倍キャンペーン！
261,201810,アップデートのお知らせ【2018/10/31(水) 12:00 更新】
262,201810,キャラクターのイラスト調整について
263,201810,プリンセスフェスガチャ開催！！【2018/10/31(水) 14:25 追記】
264,201810,「ぷりこねっ！りだいぶ」第48話掲載
265,201810,「ハードクエスト」ドロップ量2倍キャンペーン！
266,201810,クウカのステータスが本来と異なる不具合について
267,201810,ストーリーイベント「トワイライトブレイカーズ」開催決定！
268,201810,「10月クランバトル」開催！
269,201810,「ぷりこねっ！りだいぶ」第47話掲載
270,201810,「クランバトル」にて、モンスター「ティタノタートル」が使用する一部のスキルの挙動が本来と異なる不具合について
271,201810,アップデートのお知らせ【2018/10/25(木) 12:00 公開】
272,201810,「ぷりこねっ！りだいぶ」第46話掲載
273,201810,「ぷりこねっ！りだいぶ」第45話掲載
274,201810,アップデートのお知らせ【2018/10/19(金) 18:22 更新】
275,201810,「BGM変更」画面において、［ギルドハウス2F］タブを選択できない不具合について【2018/10/19(金) 18:22 追記】
276,201810,「ノーマルクエスト」ドロップ量2倍キャンペーン！
277,201810,期間限定キャラ「ミサキ（ハロウィン）」登場！！
278,201810,ギルドハウスに新しい家具を追加！
279,201810,ギルドハウスに家具「メモリアルサウンドボックス」を追加！
280,201810,「ぷりこねっ！りだいぶ」第43話掲載
281,201810,スタートダッシュガチャ開催！
282,201810,「ぷりこねっ！りだいぶ」第44話掲載
283,201810,ダンジョンショップに「ミサトのメモリーピース」を追加！！
284,201810,アップデートのお知らせ【2018/10/18(木) 15:00 更新】
285,201810,「トリックオアプリン！約束のハロウィンパーティー」開催終了！
286,201810,スタミナ回復に必要なジュエルの数および、プレゼントボックスにあるスタミナの受け取り期限変更について
287,201810,「10月クランバトル」開催決定！
288,201810,「10月ルナの塔」開催中！
